airlineID,name,iata,icao,country,active
1295,Air Cargo Express,1I,TDG,United States,N
1296,Atlas Helicopters,1I,TDT,United Kingdom,N
1297,Air Today,1I,TDY,United States,N
1298,Aero Servicios Azteca,1I,TED,Mexico,N
1299,Arkefly,OR,TFL,Netherlands,Y
1300,Antair,1I,TIR,Mexico,N
1301,Atlantique Air Assistance,1I,TLB,France,N
1302,Aero Taxi Autlan,1I,TLD,Mexico,N
1303,Aero Util,1I,TLE,Mexico,N
1304,Aero Toluca Internactional,1I,TLU,Mexico,N
1305,Aero Taxi del Centro de Mexico,1I,TME,Mexico,N
1306,Aerotropical,1I,TOC,Mexico,N
1307,Air Tomisko,1I,TOH,Serbia,N
1308,Airlines PNG,CG,TOK,Papua New Guinea,Y
1309,Aero Tanala,1I,TON,Mexico,N
1310,Aero Tropical,1I,TPB,Angola,N
1311,Air Cal,TY,TPC,France,N
1312,Air Horizon,1I,TPK,Chad,N
1313,Aero Taxi del Potosi,1I,TPO,Mexico,N
1314,Aeroturquesa,1I,TQS,Mexico,N
1315,Airmark Aviation,1I,TRH,United States,N
1316,AirTran Airways,FL,TRS,United States,Y
1317,Air Transat,TS,TSC,Canada,Y
1318,airtransse,1I,TSQ,Japan,N
1319,Aerolineas Turisticas del Caribe,1I,TTB,Mexico,N
1320,Avcenter,1I,TTE,United States,N
1321,Air Tungaru,1I,TUN,Kiribati,N
1322,Avialeasing Aviation Company,EC,TWN,Uzbekistan,Y
1323,Aerotaxis del Noroeste,1I,TXD,Mexico,N
1324,Aerotaxis Alfe,1I,TXF,Mexico,N
1325,Aereotaxis,1I,TXI,Mexico,N
1326,Tyrolean Airways,VO,TYR,Austria,Y
1327,Aero Tomza,1I,TZA,Mexico,N
1328,Air Zambezi,1I,TZT,Zimbabwe,N
1329,Afra Airlines,1I,UAG,Ghana,N
1330,Aerostar Airlines,1I,UAR,Ukraine,N
1331,Air Division of the Eastern Kazakhstan Region,1I,UCK,Kazakhstan,N
1332,Aero-Charter Ukraine,DW,UCR,Ukraine,N
1333,Air LA,1I,UED,United States,N
1334,Air Ukraine,6U,UKR,Ukraine,N
1335,Air Umbria,1I,UMB,Italy,N
1336,Atuneros Unidos de California,1I,UND,Mexico,N
1337,Aeroclub Flaps,1I,FLP,Spain,N
1338,Aerolineas Galapagos (Aerogal),2K,GLG,Ecuador,Y
1339,Air Castle Corporation / Global Airways,1I,GLB,United States,N
1340,Alrosa Mirny Air Enterprise,6R,DRU,Russia,Y
1341,Bearing Supplies Limited,1I,PVO,United Kingdom,N
1342,Balkan Agro Aviation,1I,BAA,Bulgaria,N
1343,Bahrain Air BSC (Closed),1I,BAB,Bahrain,N
1344,BAC Leasing Limited,1I,BAC,United Kingdom,N
1345,BAE Systems,1I,BAE,United Kingdom,N
1346,Belgian Air Force,1I,BAF,Belgium,N
1347,Baker Aviation,8Q,BAJ,United States,N
1348,Blackhawk Airways,1I,BAK,United States,N
1349,Britannia Airways,1I,BAL,United Kingdom,N
1350,Business Air Services,1I,BAM,Canada,N
1351,British Antarctic Survey,1I,BAN,United Kingdom,N
1352,Bradly Air (Charter) Services,1I,BAR,Canada,N
1353,Bissau Airlines,1I,BAU,Guinea-Bissau,N
1354,Bay Aviation Ltd,1I,BAV,Bangladesh,N
1355,British Airways,BA,BAW,United Kingdom,Y
1356,Best Aero Handling Ltd,1I,BAX,Russia,N
1357,Bayon Airlines,1I,BAY,Cambodia,N
1358,Bannert Air,1I,BBA,Austria,N
1359,Biman Bangladesh Airlines,BG,BBC,Bangladesh,Y
1360,Bluebird Cargo,BF,BBD,Iceland,N
1361,Beibars CJSC,1I,BBS,Kazakhstan,N
1362,Bravo Airlines,1I,BBV,Spain,N
1363,Blue Bird Aviation,1I,BBZ,Kenya,N
1364,BACH Flugbetriebsges,B4,BCF,Austria,N
1365,Blue Islands,1I,BCI,United Kingdom,N
1366,British Caribbean Airways,1I,BCL,United Kingdom,N
1367,British Charter,1I,BCR,United Kingdom,N
1368,BCT Aviation,1I,BCT,United Kingdom,N
1369,Business Aviation Center,1I,BCV,Ukraine,N
1370,Blue Dart Aviation,BZ,BDA,India,N
1371,B&H Airlines,JA,BON,Bosnia and Herzegovina,N
1372,Bissau Discovery Flying Club,1I,BDF,Guinea-Bissau,N
1373,Belgian Army,1I,AYB,Belgium,N
1374,Badr Airlines,1I,BDR,Sudan,N
1375,Best Aviation Ltd,1I,BEA,Bangladesh,N
1376,Belgorod Aviation Enterprise,1I,BED,Russia,N
1377,Bar Harbor Airlines,1I,AJC,United States,N
1378,Balear Express,1I,BEF,Spain,N
1379,Bel Air Helicopters,1I,BEH,Denmark,N
1380,Berkut Air,1I,BEK,Kazakhstan,N
1381,BETA - Brazilian Express Transportes Aereos,1I,BET,Brazil,N
1382,Basler Flight Service,1I,BFC,United States,N
1383,Bear Flight,1I,BFG,Sweden,N
1384,Buffalo Airways,J4,BFL,Canada,N
1385,Bombardier,1I,BFO,Canada,N
1386,Burkina Airlines,1I,BFR,Burkina Faso,N
1387,Business Flight Sweden,1I,BFS,Sweden,N
1388,Bahrain Defence Force,1I,BFW,Bahrain,N
1389,BH Air,1I,BGH,Bulgaria,N
1390,British Gulf International,1I,BGI,S,N
1391,British Gulf International-Fez,1I,BGK,Kyrgyzstan,N
1392,Benin Golf Air,A8,BGL,Benin,N
1393,Bugulma Air Enterprise,1I,BGM,Russia,N
1394,Budget Air Bangladesh,1I,BGR,Bangladesh,N
1395,Bergen Air Transport,1I,BGT,Norway,N
1396,Buddha Air,1I,BHA,Nepal,N
1397,Balkh Airlines,1I,BHI,Afghanistan,N
1398,Bristow Helicopters,1I,BHL,United Kingdom,N
1399,Bristow Helicopters Nigeria,1I,BHN,Nigeria,N
1400,Bhoja Airlines,1I,BHO,Pakistan,N
1401,Belair Airlines,4T,BHP,Switzerland,Y
1402,Bighorn Airways,1I,BHR,United States,N
1403,Bahamasair,UP,BHS,Bahamas,Y
1404,Bright Air,1I,BHT,Netherlands,N
1408,Bosphorus European Airways,1I,BHY,Turkey,N
1409,Binair,1I,BID,Germany,N
1410,Big Island Air,1I,BIG,United States,N
1411,British International Helicopters,BS,BIH,United Kingdom,Y
1412,Billund Air Center,1I,BIL,Denmark,N
1413,Boise Interagency Fire Center,1I,BIN,United States,N
1414,Bird Leasing,1I,BIR,United States,N
1415,Bizjet Ltd,1I,BIZ,United Kingdom,N
1416,Baja Air,1I,BJA,Mexico,N
1417,Baltic Jet Aircompany,1I,BJC,Latvia,N
1418,Business Jet Solutions,1I,BJS,United States,N
1419,Bankair,B4,BKA,United States,N
1420,BF-Lento OY,1I,BKF,Finland,Y
1421,Barken International,1I,BKJ,United States,N
1422,Bangkok Airways,PG,BKP,Thailand,Y
1423,Bukovyna,1I,BKV,Ukraine,N
1424,Blue Bird Aviation,1I,BLB,Sudan,N
1425,Bellesavia,1I,BLC,Belarus,N
1426,Blue Line,1I,BLE,France,N
1427,Blue1,KF,BLF,Finland,Y
1428,Belgavia,1I,BLG,Belgium,N
1429,Blue Horizon Travel Club,1I,BLH,United States,N
1430,Blue Jet,1I,BLJ,Spain,N
1431,Baltic Airlines,1I,BLL,Russia,Y
1432,Blue Airways,1I,BLM,Armenia,N
1433,Bali International Air Service,1I,BLN,Indonesia,N
1434,Bearskin Lake Air Service,JV,BLS,Canada,Y
1435,Baltic Aviation,1I,BLT,United States,N
1436,Bellview Airlines,B3,BLV,Nigeria,Y
1437,bmi,BD,BMA,United Kingdom,Y
1438,British Medical Charter,1I,BMD,United Kingdom,N
1439,Briggs Marine Environmental Services,1I,BME,United Kingdom,N
1440,Bristow Masayu Helicopters,1I,BMH,Indonesia,N
1441,bmibaby,WW,BMI,United Kingdom,Y
1442,Bemidji Airlines,CH,BMJ,United States,Y
1443,Bismillah Airlines,5Z,BML,Bangladesh,N
1444,Bowman Aviation,1I,BMN,United States,N
1445,British Midland Regional,1I,BMR,United Kingdom,Y
1446,BMW,1I,BMW,Germany,N
1447,Banco de Mexico,1I,BMX,Mexico,N
1448,Bond Offshore Helicopters,1I,BND,United Kingdom,N
1449,Benina Air,1I,BNE,Libya,N
1450,BN Group Limited,1I,BNG,United Kingdom,N
1451,Blue Nile Ethiopia Trading,1I,BNL,Ethiopia,N
1452,Bonair Aviation,1I,BNR,Canada,N
1453,Bancstar - Valley National Corporation,1I,BNS,United States,N
1454,Bentiu Air Transport,1I,BNT,Sudan,N
1455,Benane Aviation Corporation,1I,BNV,Mauritania,N
1456,British North West Airlines,1I,BNW,United Kingdom,N
1457,Boniair,1I,BOA,Macedonia,N
1458,Bond Air Services,1I,BOD,Uganda,N
1459,Boeing,1I,BOE,United States,N
1460,Bordaire,1I,BOF,Canada,N
1461,Bookajet Limited,1I,BOO,United Kingdom,N
1462,Bouraq Indonesia Airlines,BO,BOU,Indonesia,N
1463,Blue Panorama Airlines,BV,BPA,Italy,Y
1464,Berkhut ZK,1I,BPK,Kazakhstan,N
1465,Bundepolizei-Fliegertruppe,1I,BPO,Germany,N
1466,Budapest Aircraft Services/Manx2,1I,BPS,Hungary,Y
1467,Bonus Aviation,1I,BPT,United Kingdom,N
1468,British Petroleum Exploration,1I,BPX,Colombia,N
1469,BRA-Transportes Aereos,7R,BRB,Brazil,N
1470,Brock Air Services,1I,BRD,Canada,N
1471,Breeze Ltd,1I,BRE,Ukraine,N
1472,Bering Air,8E,BRG,United States,Y
1473,Briansk State Air Enterprise,1I,BRK,Russia,N
1474,Branson Airlines,1I,BRN,United States,N
1475,BASE Regional Airlines,1I,BRO,Netherlands,N
1476,Brazilian Air Force,1I,BRS,Brazil,Y
1477,British Regional Airlines,1I,BRT,United Kingdom,N
1478,Belavia Belarusian Airlines,B2,BRU,Belarus,Y
1479,Bravo Air Congo,K6,BRV,Democratic Republic of the Congo,N
1480,Bright Aviation Services,1I,BRW,Bulgaria,N
1481,Braniff International Airways,BN,BNF,United States,N
1482,Buffalo Express Airlines,1I,BRX,United States,N
1483,Burundayavia,1I,BRY,Kazakhstan,N
1484,Bistair - Fez,1I,BSC,Kyrgyzstan,N
1485,Blue Star Airlines,1I,BSD,Mexico,N
1486,Brasair Transportes Aereos,1I,BSI,Brazil,N
1487,Blue Swann Aviation,1I,BSJ,United Kingdom,N
1488,Blue Sky Aviation,1I,BSM,Lebanon,N
1489,Bissau Aero Transporte,1I,BSS,Guinea-Bissau,N
1490,Best Air,1I,BST,Turkey,N
1491,Blue Sky Airways,1I,BSW,Czech Republic,N
1492,Big Sky Airlines,GQ,BSY,United States,N
1493,BAL Bashkirian Airlines,V9,BTC,Russia,N
1494,Baltijas Helicopters,1I,BTH,Latvia,N
1495,Baltyka,1I,BTK,Ukraine,N
1496,Baltia Air Lines,1I,BTL,United States,N
1497,Botir-Avia,1I,BTR,Kyrgyzstan,N
1498,Business Express,1I,GAA,United States,N
1499,BT-Slavuta,1I,BTT,Ukraine,N
1500,Metro Batavia,7P,BTV,Indonesia,Y
1501,Bulgarian Air Charter,1I,BUC,Bulgaria,N
1502,Blue Airlines,1I,BUL,Democratic Republic of the Congo,N
1503,Buryat Airlines Aircompany,1I,BUN,Russia,N
1504,Buzz Stansted,1I,BUZ,United Kingdom,N
1505,Buffalo Airways,1I,BVA,United States,N
1506,Bulgarian Aeronautical Centre,1I,BVC,Bulgaria,N
1507,Baron Aviation Services,1I,BVN,United States,N
1508,Berjaya Air,J8,BVT,Malaysia,Y
1510,Blue Wings,QW,BWG,Germany,Y
1511,Blue Wing Airlines,1I,BWI,Suriname,N
1512,BWA (2002) Ltd,1I,BWL,United Kingdom,N
1513,Bahrain Executive Air Services,1I,BXA,Bahrain,N
1514,Bar XH Air,1I,BXH,Canada,N
1515,Brussels International Airlines,1I,BXI,Belgium,N
1517,Redding Aero Enterprises,1I,BXR,United States,N
1518,Berry Aviation,1I,BYA,United States,N
1519,Bylina Joint-Stock Company,1I,BYL,Russia,N
1520,Berytos Airlines,1I,BYR,Lebanon,N
1521,Bayu Indonesia Air,BM,BYE,Indonesia,N
1522,Bizair Fluggesellschaft,1I,BZA,Germany,N
1523,Brit Air,DB,BZH,France,Y
1524,Butane Buzzard Aviation Corporation,1I,BZZ,United Kingdom,N
1525,Business Flight Salzburg,1I,AUJ,Austria,N
1526,BKS Air (Rivaflecha),1I,CKM,Spain,N
1527,Bristol Flying Centre,1I,CLF,United Kingdom,N
1528,Barnes Olsen Aeroleasing,1I,CLN,United Kingdom,N
1529,Baltimore Air Transport,1I,CPJ,United States,N
1530,Boston-Maine Airways,E9,CXS,United States,N
1531,Brussels Airlines,SN,DAT,Belgium,Y
1532,Baltimore Airways,1I,EAH,United States,N
1533,Bond Aviation,1I,EBA,Italy,N
1534,Brazilian Army Aviation,1I,EXB,Brazil,N
1535,Business Express Delivery,1I,EXP,Canada,N
1536,Bel Limited,1I,FOS,Russia,N
1537,Bangkok Aviation Center,1I,HAW,Thailand,N
1538,Benair,1I,HAX,Norway,N
1539,Binter Canarias,NT,IBB,Spain,Y
1540,Bonyad Airlines,1I,IRJ,Iran,N
1541,Burundaiavia,1I,IVR,Kazakhstan,N
1542,Blue Air,0B,JOR,Romania,Y
1543,British Mediterranean Airways,KJ,LAJ,United Kingdom,Y
1544,Belle Air,1I,LBY,Albania,N
1545,Blom Geomatics,1I,LED,Norway,N
1546,Benin Littoral Airways,1I,LTL,Benin,N
1547,Bombardier Business Jet Solutions,1I,LXJ,United States,N
1548,Bulgaria Air,FB,LZB,Bulgaria,Y
1549,Brazilian Navy Aviation,1I,MBR,Brazil,N
1550,Barents AirLink,8N,NKF,Sweden,Y
1551,Belgian Navy,1I,NYB,Belgium,N
1552,Bakoji Airlines Services,1I,OGJ,Nigeria,N
1553,Benders Air,1I,PEB,Sweden,N
1554,Balmoral Central Contracts,1I,PNT,South Africa,N
1555,BGB Air,1I,POI,Kazakhstan,N
1556,Butte Aviation,1I,PPS,United States,N
1557,Bond Air Services,1I,RHD,United Kingdom,N
1558,Business Airfreight,1I,RLR,United States,N
1559,BAC Express Airlines,1I,RPX,United Kingdom,N
1560,Boscombe Down DERA (Formation),1I,RRS,United Kingdom,N
1561,Business Jet Sweden,1I,SCJ,Sweden,N
1562,British Airways Shuttle,1I,SHT,United Kingdom,N
1563,British Sky Broadcasting,1I,SKH,United Kingdom,N
1564,Bell Helicopter Textron,1I,TXB,Canada,N
1565,Buzzaway Limited,1I,UKA,United Kingdom,N
1566,Biz Jet Charter,1I,VLX,United States,N
1567,Blue Chip Jet,1I,VOL,Sweden,N
1568,BAE Systems,1I,WFD,United Kingdom,N
1569,BAE Systems,1I,WTN,United Kingdom,N
1570,Baseops International,1I,XBO,United States,N
1571,Bureau Veritas,1I,XDA,France,N
1572,British Airways,1I,XMS,United Kingdom,N
1573,Boskovic Air Charters Limited,1I,ZBA,Kenya,N
1574,C Air Jet Airlines,1I,SRJ,Syrian Arab Republic,N
1575,C N Air,1I,ORO,Spain,N
1576,C and M Aviation,1I,TIP,United States,N
1577,C&M Airways,1I,RWG,United States,N
1578,C.S.P.,1I,RMU,AIR-MAUR,N
1579,CABI,1I,CBI,Ukraine,N
1580,CAI,1I,CPI,Italy,N
1581,CAL Cargo Air Lines,5C,ICL,Israel,Y
1582,CAM Air Management,1I,CMR,United Kingdom,N
1583,CATA L,1I,CTZ,Argentina,N
1584,CCF Manager Airline,1I,CCF,Germany,N
1585,CEDTA (Compania Ecuatoriana De Transportes Aereos),1I,CED,Ecuador,N
1586,CHC Denmark,1I,HBI,Denmark,N
1587,CHC Helicopters,1I,HEM,Australia,N
1588,CHC Airways,AW,SCH,Netherlands,N
1589,CHC Helikopter Service,1I,HKS,Norway,N
1590,CI-Tours,1I,VCI,Ivory Coast,N
1591,CKC Services,1I,CKC,United States,N
1592,CM Stair,1I,CMZ,Mauritania,N
1593,CNET,1I,CNT,France,N
1594,COAPA AIR,1I,OAP,Mexico,N
1595,COMAV,1I,PDR,Namibia,N
1596,CRI Helicopters Mexico,1I,CRH,Mexico,N
1597,CSA Air,1I,IRO,United States,N
1598,CSE Aviation,1I,CSE,United Kingdom,N
1599,CTK Network Aviation,1I,CTQ,Ghana,N
1600,Cabair College of Air Training,1I,CBR,United Kingdom,N
1601,Cabo Verde Express,1I,CVE,Cape Verde,N
1602,Caernarfon Airworld,1I,CWD,United Kingdom,N
1603,Cairo Air Transport Company,1I,CCE,Egypt,N
1604,Cal Gulf Aviation,1I,CGC,Sao Tome and Principe,N
1605,Cal-West Aviation,1I,REZ,United States,N
1606,California Air Shuttle,1I,CSL,United States,N
1607,Calima Aviacion,XG,CLI,Spain,Y
1608,Calm Air,MO,CAV,Canada,N
1609,Camai Air,R9,CAM,United States,N
1610,Cambodia Airlines,1I,KHM,Cambodia,N
1611,Cameroon Airlines,UY,UYC,Cameroon,N
1612,Campania Helicopteros De Transporte,1I,HSO,Spain,N
1613,CanJet,C6,CJA,Canada,N
1614,Canada Jet Charters,1I,PIL,Canada,N
1615,Canadian Airlines,CP,CDN,Canada,Y
1616,Canadian Coast Guard,1I,CTG,Canada,N
1617,Canadian Eagle Aviation,1I,HIA,Canada,N
1618,Canadian Forces,1I,CFC,Canada,N
1619,Canadian Global Air Ambulance,1I,BZD,Canada,N
1620,Canadian Helicopters,1I,CDN,Canada,N
1621,Canadian Interagency Forest Fire Centre,1I,TKR,Canada,N
1622,Canadian National Telecommunications,1I,XNC,Canada,N
1623,Canadian North,5T,MPE,Canada,Y
1624,Canadian Regional Airlines,1I,CDR,Canada,N
1625,Canadian Warplane Heritage Museum,1I,CWH,Canada,N
1626,Canadian Western Airlines,W2,CWA,Canada,N
1627,Canair,1I,CWW,China,N
1628,Cancun Air,1I,CUI,Mexico,N
1629,Cape Air,9K,KAP,United States,Y
1630,Cape Air Transport,1I,CTO,Australia,N
1631,Cape Central Airways,1I,SEM,United States,N
1632,Cape Smythe Air,1I,CMY,United States,N
1633,Capital Air Service,1I,CPX,United States,N
1634,Capital Airlines,1I,CPD,Kenya,N
1635,Capital Airlines Limited,1I,NCP,Nigeria,N
1636,Capital Cargo International Airlines,PT,CCI,United States,N
1637,Capital City Air Carriers,1I,CCQ,United States,N
1638,Capital Trading Aviation,1I,EGL,United Kingdom,N
1639,Capitol Air Express,1I,CEX,United States,N
1640,Capitol Wings Airline,1I,CWZ,United States,N
1641,Caravan Air,1I,VAN,Mauritania,N
1642,Cardiff Wales Flying Club,1I,CWN,United Kingdom,N
1643,Cardinal/Air Virginia,1I,FVA,United States,N
1644,Cardolaar,1I,GOL,Namibia,N
1645,Cards Air Services,1I,CDI,Philippines,N
